title,author,genre,rating,status,origin_country,year
Crito,Plato,Philosophy,,,Greece,-399
Phaedo,Plato,Philosophy,,,Greece,-360
Seven and a Half Lessons About the Brain,Lisa Feldman Barrett,Science,,,United States,2020
Being Mortal (x2),Atul Gawande,Science,,,United States,2014
Reality Is Not What It Seems,Carlo Rovelli,Science,,,Italy,2014
Existentialism Is a Humanism,Jean-Paul Sartre,Philosophy,,,France,1946
Orbital,Samantha Harvey,Fiction,,,United Kingdom,2023
Helgoland,Carlo Rovelli,Science,,,Italy,2020
The Beano Annual 2011,DC Thomson (editors),Children,,,United Kingdom,2010
The Beano Annual 2010,DC Thomson (editors),Children,,,United Kingdom,2009
The Beano Annual 2012,DC Thomson (editors),Children,,,United Kingdom,2011
The Beano Annual 2014,DC Thomson (editors),Children,,,United Kingdom,2013
The Beano Annual 2015,DC Thomson (editors),Children,,,United Kingdom,2014
I Love to Draw,N/A,Children,,,N/A,N/A
Earth and Space,N/A,Science,,,N/A,N/A
Asterix and the Great Crossing,René Goscinny & Albert Uderzo,Children,,,France,1975
Asterix and Caesar's Gift,René Goscinny & Albert Uderzo,Children,,,France,1974
Whizzer and Chips Annual 1994,IPC Magazines (editors),Children,,,United Kingdom,1993
Dennis the Menace Annual 2003,DC Thomson (editors),Children,,,United Kingdom,2002
The Dandy Annual 2008,DC Thomson (editors),Children,,,United Kingdom,2007
"Oh, the Places You'll Go!",Dr. Seuss,Children,,,United States,1990
Hip! Hip! Hippo!,N/A,Children,,,N/A,N/A
101 Great Football Players,N/A,Reference,,,N/A,N/A
Doodles at Lunch,Hervé Tullet,Children,,,France,2012
F2 World of Football,Billy Wingrove & Jeremy Lynch,Reference,,,United Kingdom,2016
Draw Really Cool Stuff,N/A,Children,,,N/A,N/A
Monkey Puzzle,Julia Donaldson,Children,,,United Kingdom,2000
The Gruffalo,Julia Donaldson,Children,,,United Kingdom,1999
Growing Up,N/A,Psychology,,,N/A,N/A
Marvin Wanted More!,Joseph Theobald,Children,,,United Kingdom,2012
Connemara,N/A,Travel,,,Ireland,1985
Harry Potter and the Order of the Phoenix (x2),J. K. Rowling,Fantasy,,,United Kingdom,2003
Harry Potter and the Half-Blood Prince,J. K. Rowling,Fantasy,,,United Kingdom,2005
The Boy in the Dress,David Walliams,Children,,,United Kingdom,2008
Charlie and the Chocolate Factory,Roald Dahl,Children,,,United Kingdom,1964
Catching Falling Stars,Karen McCombie,Children,,,United Kingdom,2009
The Naughtiest Girl Wants to Win,Enid Blyton,Children,,,United Kingdom,1999
Clarice Bean Spells Trouble,Lauren Child,Children,,,United Kingdom,2001
"Roll of Thunder, Hear My Cry",Mildred D. Taylor,Children,,,United States,1976
The Tales of Beedle the Bard,J. K. Rowling,Fantasy,,,United Kingdom,2008
Moone Boy: The Fish Detective,Chris O'Dowd & Nick Vincent Murphy,Children,,,Ireland,2015
The Naughtiest Girl Is a Monitor,Enid Blyton,Children,,,United Kingdom,1945
Danger Is Still Everywhere,David O'Doherty,Children,,,Ireland,2015
Card Making,N/A,Reference,,,N/A,N/A
The Giraffe and the Pelly and Me,Roald Dahl,Children,,,United Kingdom,1985
The Third Reich: A Chronicle,N/A,History,,,N/A,N/A
Floyd on Oz,Keith Floyd,Reference,,,United Kingdom,1989
Barchester Towers,Anthony Trollope,Fiction,,,United Kingdom,1857
I Shall Not Hate,Izzeldin Abuelaish,Biography,,,Palestine,2010
The Naughtiest Girl in the School,Enid Blyton,Children,,,United Kingdom,1940
The Bridesmaid's Diary,N/A,Fiction,,,N/A,N/A
Clarice Bean Don't Look Now,Lauren Child,Children,,,United Kingdom,2002
The Dutch House,Ann Patchett,Fiction,,,United States,2019
Commonwealth,Ann Patchett,Fiction,,,United States,2016
The Sense of an Ending,Julian Barnes,Fiction,,,United Kingdom,2011
The Godmothers,N/A,Fiction,,,N/A,N/A
Revenge of the Spaghetti Hoops,N/A,Children,,,N/A,N/A
All We Shall Know,Donal Ryan,Fiction,,,Ireland,2016
The Dark Hours,Michael Connelly,Mystery,,,United States,2021
The Smartest Giant in Town,Julia Donaldson,Children,,,United Kingdom,2002
The Children at Green Meadows,Enid Blyton,Children,,,United Kingdom,1946
The Little Girl Who Lost Her Name,David Cadji-Newby,Children,,,United Kingdom,2014
Mockingjay,Suzanne Collins,Fantasy,,,United States,2010
Bran agus na Dathanna,N/A,Children,,,Ireland,2007
For I Know the Plans I Have for You (x2),N/A,Religion,,,N/A,N/A
How to Catch a Witch,N/A,Children,,,United Kingdom,2020
Clear Your Clutter with Feng Shui,Karen Kingston,Psychology,,,United Kingdom,1998
The Magic Faraway Tree,Enid Blyton,Children,,,United Kingdom,1943
