title,author,genre,rating,status,origin_country,year
The Pop-Up Dear Zoo,Rod Campbell,Children,,,United Kingdom,2007
Daddy's Little Girl,N/A,Children,,,N/A,N/A
Scaredy Squirrel Makes a Friend,Mélanie Watt,Children,,,Canada,2010
I'm Really Ever So Not Well,Lauren Child,Children,,,United Kingdom,2004
The Highway Rat,Julia Donaldson,Children,,,United Kingdom,2011
The Story of the Nativity,N/A,Children,,,N/A,N/A
For Every Child,UNICEF,Children,,,International,1989
Lion Children's Favourite Bible Stories and Prayers,Lion Publishing,Children,,,United Kingdom,2001
Whoopie Pies,Jean-Luc Sady,Reference,,,France,2011
Simple Truths,N/A,Psychology,,,N/A,N/A
M Is for Maple,Mike Ulmer,Children,,,Canada,2012
The Trouble with Dragons,Debi Gliori,Children,,,United Kingdom,2009
Tintin in Tibet,Hergé,Children,,,Belgium,1960
Compact Atlas of the World,N/A,Reference,,,N/A,N/A
Guinness World Records 2020,N/A,Reference,,,United Kingdom,2019
The Very Smiley Snowman,Janet Charters,Children,,,United Kingdom,2008
Waterford Crystal,John M. Hearne,Reference,,,Ireland,2004
Christmas Baking for Children,Catherine Atkinson,Children,,,United Kingdom,2008
Ticketing Handbook,N/A,Reference,,,N/A,N/A
What's Cooking: Barbecue,Jenny Stacey,Reference,,,United Kingdom,2004
Foster,Claire Keegan,Fiction,,,Ireland,2010
Lady Almina and the Real Downton Abbey: The Lost Legacy of Highclere Castle,Fiona Carnarvon,History,,,United Kingdom,2011
The Little Paris Bookshop,Nina George,Fiction,,,Germany,2013
The Man Who Died Twice,Richard Osman,Mystery,,,United Kingdom,2021
Conversations with Friends,Sally Rooney,Fiction,,,Ireland,2017
It Ends with Us,Colleen Hoover,Fiction,,,United States,2016
The Thursday Murder Club,Richard Osman,Mystery,,,United Kingdom,2020
Reflections on the Revolution in France,Edmund Burke,History,,,Ireland,1790
Sherlock Holmes: A Study in Scarlet,Arthur Conan Doyle,Mystery,,,United Kingdom,1887
Sherlock Holmes: The Sign of Four,Arthur Conan Doyle,Mystery,,,United Kingdom,1890
Sherlock Holmes: The Hound of the Baskervilles,Arthur Conan Doyle,Mystery,,,United Kingdom,1902
Sherlock Holmes: The Valley of Fear,Arthur Conan Doyle,Mystery,,,United Kingdom,1915
The Good Companion,J. B. Priestley,Fiction,,,United Kingdom,1929
A Spool of Blue Thread,Anne Tyler,Fiction,,,United States,2015
Yeats's Poems,W. B. Yeats,Poetry,,,Ireland,1989
The Giver of Stars,Jojo Moyes,Fiction,,,United Kingdom,2019
Small Babies,N/A,Children,,,N/A,N/A
Little Red Riding Hood,Charles Perrault,Children,,,France,1697
Mermaids,Usborne,Children,,,United Kingdom,2001
Oileáin Árann,Tony Whilde,Travel,,,Ireland,2002
Grown Ups,Marian Keyes,Fiction,,,Ireland,2020
A Thousand Moons,Sebastian Barry,Fiction,,,Ireland,2020
Shadowplay,Joseph O'Connor,Fiction,,,Ireland,2019
The Weight of Water,Sarah Crossan,Fiction,,,Ireland,2021
Still Life,Sarah Winman,Fiction,,,United Kingdom,2021
Of Mice and Men,John Steinbeck,Fiction,,,United States,1937
My Brilliant Friend,Elena Ferrante,Fiction,,,Italy,2011
Evening Memories: William O'Brien,William O'Brien,Biography,,,Ireland,1908
Father Brown on Chesterton,G. K. Chesterton,Mystery,,,United Kingdom,1937
The Provincial Lady,E. M. Delafield,Fiction,,,United Kingdom,1930
Latin for Today Book Two,N/A,Reference,,,N/A,1958
Latin for Today: Second Course,N/A,Reference,,,N/A,1963
The Secret Life of Bees,Sue Monk Kidd,Fiction,,,United States,2001
Asquith,Cyril Falls,Biography,,,United Kingdom,1935
The Triumph,Ludovic Kennedy,History,,,United Kingdom,1983
Us Against You,Fredrik Backman,Fiction,,,Sweden,2017
The Notebook,Nicholas Sparks,Fiction,,,United States,1996
The Help,Kathryn Stockett,Fiction,,,United States,2009
Journey to England & Ireland,N/A,Travel,,,N/A,N/A
The Wishing Chair Collection,Enid Blyton,Children,,,United Kingdom,2001
Memoirs of the Court of George IV,Duke of Buckingham & Chandos,Biography,,,United Kingdom,1859
Long Island,Colm Tóibín,Fiction,,,Ireland,2024
Human Kind: A Hopeful History,Rutger Bregman,History,,,Netherlands,2019
The Ultimate Guide to Dog Breeds,Derek Hall,Reference,,,United Kingdom,2016
Cavalleria Rusticana,Giovanni Verga,Drama,,,Italy,1880
Spectacular Canada,Bill Bell,Travel,,,Canada,1998
Scotland,Colin Baxter,Travel,,,United Kingdom,2002
Gaudí,Gijs van Hensbergen,Biography,,,United Kingdom,2002
Dwarf Hamsters,N/A,Reference,,,N/A,N/A
World in Torment,N/A,Fiction,,,N/A,N/A
The Works of Oscar Wilde,Oscar Wilde,Essays,,,Ireland,1908
An Introduction to Irish Poetry,Justin Quinn (ed.),Poetry,,,Ireland,2008
The Old Township of Pembroke,N/A,History,,,Canada,1978
The Works of Gerard Manley Hopkins,Gerard Manley Hopkins,Poetry,,,United Kingdom,1918
Michael Collins and the Invisible Army,Frank O'Connor,History,,,Ireland,1957
Seamus Heaney: Sweeney Astray,Seamus Heaney,Poetry,,,Ireland,1983
Hound of the Far Side,Gary Larson,Essays,,,United States,1986
The Scouting Trail,Robert Baden-Powell,Reference,,,United Kingdom,1918
A Little Princess,Frances Hodgson Burnett,Children,,,United Kingdom,1905
They Called It Passchendaele,Lyn Macdonald,History,,,United Kingdom,1978
Anne of Avonlea,L. M. Montgomery,Children,,,Canada,1909
The Brontë Project,Jennifer Vandever,Fiction,,,United States,2005
The Riddle of the Sands,Erskine Childers,Mystery,,,United Kingdom,1903
"Your Puppy, Your Dog: An Essential Guide",N/A,Reference,,,N/A,N/A
Expressions of Hope,N/A,Religion,,,N/A,N/A
From the Holy Mountain,William Dalrymple,Travel,,,United Kingdom,1997
Anne of the Island,L. M. Montgomery,Children,,,Canada,1915
Anne of Windy Willows,L. M. Montgomery,Children,,,Canada,1936
Progress in Irish,Máiréad Ní Ghráda,Reference,,,Ireland,1966
The Brandywine,David G. Hackett,History,,,United States,1997
Looking for Alaska,John Green,Fiction,,,United States,2005
The Trail of Saint Thomas More,E. E. Reynolds,Religion,,,United Kingdom,1953
The Marriage Plot,Jeffrey Eugenides,Fiction,,,United States,2011
Far from the Madding Crowd,Thomas Hardy,Fiction,,,United Kingdom,1874
Falling Angels,Tracy Chevalier,Fiction,,,United Kingdom,2001
Sailing Alone Around the World,Joshua Slocum,Biography,,,United States,1900
The Field Museum,N/A,Reference,,,United States,2001
This Is Sailing,N/A,Reference,,,N/A,N/A
The Treasure-Hunting Trip,N/A,Children,,,N/A,N/A
Getaway Morbihan,N/A,Travel,,,France,2018
Strange Pilgrims,Gabriel García Márquez,Fiction,,,Colombia,1992
Charles Dowding's Diary,Charles Dowding,Reference,,,United Kingdom,2007
The Muse,Jessie Burton,Fiction,,,United Kingdom,2016
The Road,Cormac McCarthy,Fiction,,,United States,2006
Enid Blyton Omnibus,Enid Blyton,Children,,,United Kingdom,1952
At Swim-Two-Birds,Flann O'Brien,Fiction,,,Ireland,1939
County Lines: Celebrating County,N/A,History,,,Ireland,2022
Blue on Blue,N/A,Fiction,,,N/A,N/A
Patios and Window Boxes,N/A,Reference,,,N/A,N/A
Fifty Sheds of Grey,Tim Whiston,Essays,,,United Kingdom,2012
MasterChef Quick Wins,Various,Reference,,,United Kingdom,2015
Celtic Names for Children,Norma O'Connor,Reference,,,Ireland,1997
Transcription,Kate Atkinson,Fiction,,,United Kingdom,2018
Winter,Ali Smith,Fiction,,,United Kingdom,2017
Limitless,Nuala Moore,Biography,,,Ireland,2024
Winnie-the-Pooh,A. A. Milne,Children,,,United Kingdom,1926
English Social History,G. M. Trevelyan,History,,,United Kingdom,1942
Mister Tony's Journey,N/A,Children,,,N/A,N/A
The Guest List,Lucy Foley,Mystery,,,United Kingdom,2020
Ireland from Famine to Freedom,Sean McMahon,History,,,Ireland,1996
Fairy Tales of Ireland,Thomas Crofton Croker,Children,,,Ireland,1825
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,Mystery,,,Zimbabwe,1998
Make Yourself at Home,N/A,Reference,,,N/A,N/A
The Bullet That Missed,Richard Osman,Mystery,,,United Kingdom,2022
Yoga: Theory and Practice for Beginners and Advanced Students,N/A,Psychology,,,N/A,N/A
Boo and Baa,Lena Landström and Olof Landström,Children,,,Sweden,1995
I Udderly Love You,Kate Toms,Children,,,United Kingdom,2006
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,Children,,,United Kingdom,2019
Jane Austen: Seven Novels,Jane Austen,Fiction,,,United Kingdom,2007
American Dirt,Jeanine Cummins,Fiction,,,United States,2020
Anne of Green Gables,L. M. Montgomery,Fiction,,,Canada,1908
Yours Cheerfully,A. J. Pearce,Fiction,,,United Kingdom,2021
All the Frequent Troubles of Our Days,Rebecca Donner,History,,,United States,2021
Guess How Much I Love You,Sam McBratney,Children,,,Northern Ireland,1994
The Elves and the Shoemaker,Brothers Grimm,Children,,,Germany,1812
An Invitation to the Kennedys,Amitava Kumar,Essays,,,India,2023
The Book of Weather Eye,Brendan McWilliams,Reference,,,Ireland,2001
When All Is Said,Anne Griffin,Fiction,,,Ireland,2019
The Little Black Book of Christmas Songs,N/A,Reference,,,N/A,N/A
Scaredy Squirrel at the Beach,Mélanie Watt,Children,,,Canada,2008
The Fairy Tales of Oscar Wilde,Oscar Wilde,Children,,,Ireland,2008
Wildlife Walks in Waterford (x2),N/A,Travel,,,Ireland,2006
The Marble Collector,Cecelia Ahern,Fiction,,,Ireland,2016
Winning Chess Strategies,Yasser Seirawan,Reference,,,United States,2003
Waterford Whispers News 2019,Colm Williamson,Essays,,,Ireland,2019
Waterford Whispers News 2017 (x2),Colm Williamson,Essays,,,Ireland,2017
Wildlife Quiz & Amazing Book,N/A,Children,,,N/A,N/A
"Versailles: The Château, the Gardens, the Trianons",N/A,Travel,,,France,2002
Golf Lessons,N/A,Reference,,,N/A,N/A
An Almanack 1906,J. Whitaker & Sons,Reference,,,United Kingdom,1905
Boris on the Mountain,N/A,Children,,,N/A,N/A
The Whoseday Book,Joe O'Connor (ed.),Essays,,,Ireland,2007
A View from the River,N/A,Essays,,,N/A,N/A
Shell Sea Shell,N/A,Children,,,N/A,N/A
Rome Past & Present,R. Meneghini & R. Santangeli Valenzani,Travel,,,Italy,2005
Social Life in Ireland 1800–45,John Gamble,History,,,Ireland,1907
Berlin,Travel Guide Editors,Travel,,,Germany,2018
Irlande et France ou ...,N/A,Travel,,,France,1999
JFK in Ireland,Ryan Tubridy,History,,,Ireland,2023
The Most Evil Pirates in History,N. A. M. Rodger,History,,,United Kingdom,2006
The Complete Guide to Ireland's Birds,N/A,Reference,,,Ireland,2008
Masters of Medicine,Andrew Lam,Science,,,United States,2008
Tom Corkery's Dublin,Tom Corkery,History,,,Ireland,2010
The Year of Liberty,Thomas Pakenham,History,,,South Africa,1969
"Europe, Mother of Revolutions",N/A,History,,,N/A,N/A
Improve Your Golf the Professional Way,Gary Player,Reference,,,South Africa,1966
The Aircraft Book,DK Publishing,Reference,,,United Kingdom,2013
Merveilleuses Cathédrales,N/A,Reference,,,France,1998
Gardeners' World Practical Gardening Course,Alan Titchmarsh,Reference,,,United Kingdom,2009
United: The First 100 Years & More,Manchester United FC,Reference,,,United Kingdom,1978
The Piper's Day,N/A,History,,,N/A,N/A
Illustrated Family Bible,N/A,Religion,,,N/A,N/A
The American Society of Clinical Oncology,ASCO,Medicine,,,United States,1964
Beatrix Potter: The Complete Tales,Beatrix Potter,Children,,,United Kingdom,1989
Turner's Taoiseach,Brian Farrell,Biography,,,Ireland,1993
How to Do Just About Anything,Reader's Digest,Reference,,,United States,2005
Clinical Oncology,N/A,Medicine,,,N/A,N/A
Guide to Places of the World,N/A,Reference,,,N/A,N/A
Exploring Stars and Planets,DK Publishing,Science,,,United Kingdom,1995
Leonardo da Vinci,Charles Nicholl,Biography,,,United Kingdom,2004
The Book of Kells,George Otto Simms,History,,,Ireland,1978
Illustrated Atlas of the World,DK Publishing,Reference,,,United Kingdom,2005
Arts & Crafts Houses 2: Architecture,Alan Powers,Reference,,,United Kingdom,2003
Irelandopedia,Fatti & John Burke,Reference,,,Ireland,2015
Children's Atlas of the World,DK Publishing,Children,,,United Kingdom,2008
Bridges,Steven Ostrow,Reference,,,United States,1998
The Odonata of County Wexford,Rory O'Connor,Science,,,Ireland,2004
Irish Gardens,Edward Malins & Patrick Bowe,Gardening,,,Ireland,1980
Wexford's Wild Heritage,Chris Wilson,Nature,,,Ireland,2015
The Pope in Ireland: A Pictorial Record,N/A,History,,,Ireland,1979
Royal Geographical Society: Mountaineers,N/A,History,,,United Kingdom,1994
The Night Before Christmas,Clement Clarke Moore,Children,,,United States,1823
Edward Wilson's Antarctic Notebooks,Edward Wilson,Biography,,,United Kingdom,1972
Edward Wilson's Nature Notebooks,Edward Wilson,Biography,,,United Kingdom,1978
Harry Potter: A History of Magic,British Library,Reference,,,United Kingdom,2017
The Lady of the Camellias,Alexandre Dumas fils,Fiction,,,France,1848
Madame Bovary,Gustave Flaubert,Fiction,,,France,1857
Notre-Dame de Paris,Victor Hugo,Fiction,,,France,1831
History of England Volume 1,Lord Macaulay,History,,,United Kingdom,1848
History of England Volume 2,Lord Macaulay,History,,,United Kingdom,1849
History of England Volume 3,Lord Macaulay,History,,,United Kingdom,1855
History of England Volume 4,Lord Macaulay,History,,,United Kingdom,1855
Once Upon a Time,John Prater,Children,,,United Kingdom,1989
Badger's Parting Gifts,Susan Varley,Children,,,United Kingdom,1984
Always and Forever,Alan Durant,Children,,,United Kingdom,2003
The Snail and the Whale,Julia Donaldson,Children,,,United Kingdom,2003
It's Lovely When You Smile,Sam McBratney,Children,,,Northern Ireland,1990
Let's Play Fairies!,Georgie Adams,Children,,,United Kingdom,2004
Bunny My Honey,N/A,Children,,,N/A,N/A
Arthur's Valentine,Marc Brown,Children,,,United States,1980
Finn and the Giant,N/A,Children,,,Ireland,2010
Love You Forever,Robert Munsch,Children,,,Canada,1986
Sharing a Shell,Julia Donaldson,Children,,,United Kingdom,2004
Snow Bears,Martin Waddell,Children,,,United Kingdom,1992
Yummy Yucky,Leslie Patricelli,Children,,,United States,2003
Étaín and Midir,Irish mythology,Children,,,Ireland,1999
Sleeping Beauty,Charles Perrault,Children,,,France,1697
I Want My Potty!,Alyssa Satin Capucilli,Children,,,United States,2000
Ted in a Red Bed,Phil Roxbee Cox,Children,,,United Kingdom,2000
Little Baa,N/A,Children,,,N/A,N/A
That's Not My Train...,Fiona Watt,Children,,,United Kingdom,2009
A Dog's Life,N/A,Children,,,N/A,N/A
That's Not My Angel...,Fiona Watt,Children,,,United Kingdom,2008
The Princess and the Frog,N/A,Children,,,N/A,2009
My Very Own Bible,N/A,Children,,,N/A,N/A
St Brigid's Cloak,N/A,Children,,,Ireland,2005
The Salmon of Knowledge,Irish mythology,Children,,,Ireland,1997
The Gates of Europe: A History of Ukraine,Serhii Plokhy,History,,,Ukraine,2015
"Tom Gates: Biscuits, Bands and Very Big Plans",Liz Pichon,Children,,,United Kingdom,2012
The World's Worst Children,David Walliams,Children,,,United Kingdom,2016
1001 Things to Spot in Fairyland,N/A,Children,,,United Kingdom,2007
Winnie's Amazing Pumpkin,Valerie Thomas & Korky Paul,Children,,,United Kingdom,2010
Noodle's Knitting,N/A,Children,,,N/A,N/A
Doodlepedia,N/A,Children,,,United Kingdom,2013
Big Book of Things to Draw,N/A,Children,,,United Kingdom,2014
The Usborne Book of Christmas Art Ideas,Fiona Watt,Children,,,United Kingdom,2010
Minions Annual 2016,N/A,Children,,,United Kingdom,2015
Despicable Me 2 Annual 2014,N/A,Children,,,United Kingdom,2013
Sharing the Wisdom of Time,Pope Francis,Religion,,,Vatican City,2018
"Calm Down, Boris!",Sam Lloyd,Children,,,United Kingdom,2009
The Naughtiest Girl Saves the Day,Enid Blyton,Children,,,United Kingdom,1959
Harry Potter and the Chamber of Secrets (x2),J. K. Rowling,Fantasy,,,United Kingdom,1998
The Dare,N/A,Children,,,N/A,N/A
I Used to Know That,N/A,Reference,,,United Kingdom,2007
The Adventures of Ook and Gluk: Kung-Fu Cavemen from the Future,Dav Pilkey,Children,,,United States,2010
How to Look for a Lost Dog,Ann M. Martin,Children,,,United States,1992
Saint Patrick's World,N/A,History,,,Ireland,1985
Tragedy at Tuskar Rock,N/A,History,,,Ireland,2006
Bran ag Obair,N/A,Children,,,Ireland,2008
Treasure Island,Robert Louis Stevenson,Fiction,,,United Kingdom,1883
Kilbridge House,N/A,Fiction,,,N/A,N/A
The Notebook,José Saramago,Fiction,,,Portugal,2009
Sebastian Faulks,Sebastian Faulks,Biography,,,United Kingdom,1998
Growing Up Stories,N/A,Children,,,N/A,N/A
The Unique,N/A,Fiction,,,N/A,N/A
Province,N/A,Children,,,N/A,N/A
Five Little Monkeys Sitting in a Tree,Eileen Christelow,Children,,,United States,1991
December Bride,N/A,Fiction,,,N/A,N/A
The Songbird's Way,N/A,Travel,,,N/A,N/A
West Cork: A Place Apart,N/A,Travel,,,Ireland,1999
Aliens in Underpants Save the World,Claire Freedman,Children,,,United Kingdom,2015
The Gruffalo's Child,Julia Donaldson,Children,,,United Kingdom,2004
Winnie the Witch,Valerie Thomas & Korky Paul,Children,,,United Kingdom,1987
Oliver & Patch,N/A,Children,,,N/A,N/A
The Powers,N/A,Children,,,N/A,N/A
Betty and the Yeti,N/A,Children,,,United Kingdom,2021
Decluttering,N/A,Psychology,,,N/A,N/A
Sailing,Peter Heaton,Reference,,,United Kingdom,2002
1917: Total War in Flanders,N/A,History,,,Belgium,2017
Winnie Goes for Gold,Valerie Thomas & Korky Paul,Children,,,United Kingdom,2012
Matilda,Roald Dahl,Children,,,United Kingdom,1988
A Series of Unfortunate Events: The Miserable Mill,Lemony Snicket (Daniel Handler),Children,,,United States,2000
Mandala Block,N/A,Art,,,N/A,N/A
Cancer Staging Handbook,American Joint Committee on Cancer,Medicine,,,United States,2002
The Road Less Travelled,M. Scott Peck,Psychology,,,United States,1978
Winnie Goes Batty,Valerie Thomas & Korky Paul,Children,,,United Kingdom,2006
Esio Trot,Roald Dahl,Children,,,United Kingdom,1990
Hamlet,William Shakespeare,Drama,,,United Kingdom,1603
The Naughtiest Girl Again,Enid Blyton,Children,,,United Kingdom,1942
Time After Time,N/A,Fiction,,,N/A,N/A
The Twits,Roald Dahl,Children,,,United Kingdom,1980
The Shed That Fed a Million Children,Magnus MacFarlane-Barrow,Biography,,,United Kingdom,2015
Mr Stink,David Walliams,Children,,,United Kingdom,2009
Bad Dad,David Walliams,Children,,,United Kingdom,2017
Winnie Takes the Plunge,Valerie Thomas & Korky Paul,Children,,,United Kingdom,2013
Danger Is Everywhere,David O'Doherty,Humor,,,Ireland,2014
Harry Potter and the Cursed Child,"J. K. Rowling, Jack Thorne & John Tiffany",Fantasy,,,United Kingdom,2016
"Well Done, The Naughtiest Girl",Enid Blyton,Children,,,United Kingdom,1961
The Meanwhile Adventures,Roddy Doyle,Children,,,Ireland,2015
Moone Boy: The Marvellous Activity Manual,Chris O'Dowd & Nick Vincent Murphy,Children,,,Ireland,2015
Mr Gum,Andy Stanton,Children,,,United Kingdom,2006
The Folk of the Faraway Tree,Enid Blyton,Children,,,United Kingdom,1946
Fantastic Mr Fox,Roald Dahl,Children,,,United Kingdom,1970
Pippi Longstocking,Astrid Lindgren,Children,,,Sweden,1945
Anything Is Possible,Elizabeth Strout,Fiction,,,United States,2017
Fiber Fueled,Will Bulsiewicz,Health,,,United States,2020
The Little Black Songbook: Paul Simon,Paul Simon,Music,,,United Kingdom,2008
Patrick Kavanagh: A Biography,Antoinette Quinn,Biography,,,Ireland,2001
Whitehorn Woods,Maeve Binchy,Fiction,,,Ireland,2006
Wish You Were Here,Jodi Picoult,Fiction,,,United States,2021
The Trial,Franz Kafka,Fiction,,,Czech Republic,1925
The Hour of the Star,Clarice Lispector,Fiction,,,Brazil,1977
Advanced Portfolio Management,Giuseppe A. Paleologo,Finance,,,Italy,2022
Quantitative Portfolio Management,Ludovic Phalippou,Finance,,,Netherlands,2024
Surgeons' Hall,Rob Buckman,History,,,Canada,2007
Modern French Painters,N/A,Art,,,N/A,N/A
Barbarians at the Gate,Bryan Burrough & John Helyar,Finance,,,United States,1989
The Master,Colm Tóibín,Fiction,,,Ireland,2004
A Brief History of Medicine,Steve Parker,Medicine,,,United Kingdom,2013
On Nothing & Kindred Subjects,Hilaire Belloc,Essays,,,United Kingdom,1908
Don Quixote,Miguel de Cervantes,Fiction,,,Spain,1605
George Bernard Shaw,Michael Holroyd,Biography,,,United Kingdom,1998
The Bookseller of Kabul,Åsne Seierstad,Biography,,,Norway,2002
The Bell Jar,Sylvia Plath,Fiction,,,United States,1963
Catch-22,Joseph Heller,Fiction,,,United States,1961
The Thing,N/A,Fiction,,,N/A,N/A
Super Food in Minutes,Jamie Oliver,Cookery,,,United Kingdom,2017
Strait Is the Gate,André Gide,Fiction,5,Read,France,1909
Thus Spoke Zarathustra,Friedrich Nietzsche,Philosophy,,,Germany,1883
The Republic,Plato,Philosophy,,,Greece,-380
Animal Farm,George Orwell,Fiction,4,Read,United Kingdom,1945
Under the Jaguar Sun,Italo Calvino,Fiction,4,Read,Italy,1986
The Immoralist,André Gide,Fiction,5,Read,France,1902
The Fall,Albert Camus,Fiction,4,Read,France,1956
The Death of Ivan Ilyich,Leo Tolstoy,Fiction,4,Read,Russia,1886
The Outsider,Albert Camus,Fiction,4.5,Read,France,1942
The Sorrows of Young Werther,Johann Wolfgang von Goethe,Fiction,,,Germany,1774
The Everlasting Man,G. K. Chesterton,Religion,,,United Kingdom,1925
The Idiot,Fyodor Dostoevsky,Fiction,,,Russia,1869
Nineteen Eighty-Four,George Orwell,Fiction,,,United Kingdom,1949
"A Perfect Harmony: Music, Mathematics and Science",Roger Scruton,Philosophy,5,Read,United Kingdom,2011
The Road to Reality,Roger Penrose,Science,,,United Kingdom,2004
